win,threshold,hand
0,14,"Queen of Clubs||Queen of Spades||(20 points)"
0,14,"Queen of Clubs||Three of Spades||Ten of Clubs||(23 points)"
1,14,"Queen of Diamonds||Six of Spades||(16 points)"
0,14,"Two of Clubs||Ten of Diamonds||Seven of Diamonds||(19 points)"
1,14,"Jack of Spades||Three of Hearts||Four of Spades||(17 points)"
0,14,"Queen of Spades||Seven of Spades||(17 points)"
0,14,"Seven of Hearts||Five of Clubs||Jack of Clubs||(22 points)"
1,14,"Ace of Diamonds||Five of Hearts||(6 or 16 points)"
1,14,"Three of Diamonds||Six of Hearts||King of Hearts||(19 points)"
0,14,"Queen of Hearts||Three of Hearts||King of Hearts||(23 points)"
1,14,"Ten of Spades||Nigh of Clubs||(19 points)"
0,14,"Six of Hearts||Seven of Diamonds||Nigh of Spades||(22 points)"
1,14,"Ace of Hearts||Three of Clubs||Two of Hearts||(6 or 16 points)"
1,14,"Ace of Clubs||Five of Spades||(6 or 16 points)"
0,14,"Eight of Hearts||King of Clubs||(18 points)"
1,14,"Two of Spades||Jack of Clubs||Three of Spades||(15 points)"
0,14,"Four of Diamonds||Five of Spades||Four of Hearts||Three of Spades||(16 points)"
0,14,"Four of Diamonds||Six of Hearts||Six of Spades||(16 points)"
0,14,"Seven of Clubs||Five of Clubs||Ten of Spades||(22 points)"
1,14,"Ace of Spades||Two of Diamonds||Queen of Clubs||(13 or 23 points)"
0,14,"Ace of Hearts||Eight of Clubs||(9 or 19 points)"
1,14,"Queen of Hearts||Six of Spades||(16 points)"
1,14,"Six of Spades||Eight of Clubs||Ace of Diamonds||(15 or 25 points)"
1,14,"Three of Hearts||Nigh of Diamonds||Two of Spades||Seven of Spades||(21 points)"
1,14,"King of Spades||Jack of Spades||(20 points)"
1,14,"Ace of Clubs||Two of Hearts||Ace of Diamonds||(4, 4, 4 or 24 points)"
0,14,"Seven of Clubs||Queen of Clubs||(17 points)"
1,14,"Five of Spades||King of Hearts||(15 points)"
1,14,"Nigh of Diamonds||Four of Clubs||Seven of Spades||(20 points)"
0,14,"King of Spades||Queen of Hearts||(20 points)"
0,14,"Three of Clubs||Ten of Spades||King of Hearts||(23 points)"
0,14,"Seven of Hearts||Nigh of Clubs||(16 points)"
0,14,"Seven of Hearts||Seven of Clubs||Three of Hearts||(17 points)"
0,14,"Six of Spades||Jack of Clubs||(16 points)"
0,14,"Ten of Diamonds||King of Diamonds||(20 points)"
0,14,"Ten of Hearts||Six of Clubs||(16 points)"
1,14,"Six of Spades||Eight of Diamonds||Five of Clubs||(19 points)"
0,14,"Three of Clubs||Nigh of Hearts||Seven of Hearts||(19 points)"
1,14,"King of Clubs||Three of Diamonds||Eight of Spades||(21 points)"
1,14,"Queen of Diamonds||Jack of Diamonds||(20 points)"
1,14,"King of Clubs||Seven of Diamonds||(17 points)"
1,14,"Two of Hearts||Two of Clubs||Jack of Clubs||Seven of Clubs||(21 points)"
1,14,"Five of Hearts||King of Diamonds||(15 points)"
1,14,"King of Diamonds||Nigh of Spades||(19 points)"
0,14,"King of Clubs||Three of Hearts||Seven of Hearts||(20 points)"
0,14,"Two of Clubs||Queen of Clubs||Two of Diamonds||Five of Hearts||(19 points)"
0,14,"Four of Hearts||Three of Diamonds||Eight of Spades||(15 points)"
1,14,"Queen of Diamonds||King of Spades||(20 points)"
0,14,"Five of Clubs||Nigh of Spades||Four of Spades||(18 points)"
1,14,"Queen of Spades||Queen of Hearts||(20 points)"
0,14,"Ten of Hearts||Four of Spades||King of Spades||(24 points)"
0,14,"Six of Diamonds||Queen of Clubs||(16 points)"
0,14,"Two of Spades||Five of Diamonds||Ten of Spades||(17 points)"
0,14,"Three of Hearts||Queen of Hearts||Nigh of Clubs||(22 points)"
1,14,"Nigh of Clubs||Jack of Diamonds||(19 points)"
1,14,"Seven of Diamonds||Jack of Hearts||(17 points)"
0,14,"Three of Clubs||Queen of Diamonds||Jack of Spades||(23 points)"
0,14,"Six of Diamonds||Eight of Diamonds||Two of Clubs||(16 points)"
0,14,"Five of Clubs||Ten of Hearts||(15 points)"
0,14,"Three of Clubs||Eight of Clubs||Four of Spades||(15 points)"
1,14,"Ace of Spades||King of Hearts||(11 or 21 points)"
0,14,"Five of Hearts||Ace of Diamonds||(6 or 16 points)"
1,14,"Nigh of Diamonds||Queen of Diamonds||(19 points)"
0,14,"Six of Hearts||Ten of Clubs||(16 points)"
0,14,"Ace of Spades||Seven of Hearts||(8 or 18 points)"
1,14,"Ace of Diamonds||Five of Spades||(6 or 16 points)"
1,14,"Seven of Spades||Four of Diamonds||Seven of Hearts||(18 points)"
0,14,"King of Spades||Five of Spades||(15 points)"
0,14,"Queen of Clubs||Seven of Hearts||(17 points)"
1,14,"Ten of Hearts||Nigh of Hearts||(19 points)"
0,14,"Jack of Hearts||Five of Hearts||(15 points)"
0,14,"Eight of Hearts||Three of Hearts||Three of Spades||Ten of Clubs||(24 points)"
0,14,"Jack of Hearts||Five of Diamonds||(15 points)"
0,14,"Ace of Spades||Ace of Diamonds||(2, 2, 2 or 22 points)"
0,14,"Queen of Hearts||Two of Clubs||Ten of Hearts||(22 points)"
0,14,"Eight of Hearts||Nigh of Spades||(17 points)"
0,14,"King of Hearts||Ten of Hearts||(20 points)"
1,14,"Ace of Diamonds||Two of Diamonds||Four of Clubs||(7 or 17 points)"
0,14,"Two of Diamonds||Ten of Clubs||Queen of Diamonds||(22 points)"
1,14,"Jack of Spades||Two of Clubs||Eight of Spades||(20 points)"
0,14,"Jack of Clubs||Three of Diamonds||Nigh of Diamonds||(22 points)"
1,14,"Two of Diamonds||Four of Clubs||Ten of Hearts||(16 points)"
0,14,"Eight of Clubs||Queen of Diamonds||(18 points)"
0,14,"Queen of Hearts||Two of Hearts||Two of Diamonds||Eight of Spades||(22 points)"
0,14,"Five of Spades||Two of Spades||Ace of Clubs||(8 or 18 points)"
0,14,"King of Clubs||Jack of Clubs||(20 points)"
1,14,"Eight of Diamonds||Two of Hearts||Jack of Hearts||(20 points)"
1,14,"Six of Spades||Two of Clubs||Three of Diamonds||Four of Spades||(15 points)"
0,14,"Five of Diamonds||Queen of Diamonds||(15 points)"
1,14,"Queen of Spades||Six of Hearts||(16 points)"
0,14,"King of Hearts||Nigh of Clubs||(19 points)"
0,14,"Four of Clubs||Eight of Spades||Ten of Diamonds||(22 points)"
0,14,"Jack of Diamonds||Jack of Spades||(20 points)"
0,14,"Two of Clubs||Five of Hearts||Two of Hearts||Eight of Spades||(17 points)"
0,14,"Ace of Spades||Four of Spades||(5 or 15 points)"
1,14,"Ten of Hearts||Jack of Spades||(20 points)"
1,14,"Three of Diamonds||Five of Clubs||Four of Hearts||Two of Clubs||Two of Diamonds||(16 points)"
0,14,"Ace of Diamonds||Eight of Hearts||(9 or 19 points)"
1,14,"Five of Hearts||Jack of Clubs||(15 points)"
0,14,"Seven of Clubs||Nigh of Hearts||(16 points)"
0,14,"Queen of Spades||King of Clubs||(20 points)"
0,14,"Jack of Clubs||Five of Spades||(15 points)"
1,14,"Three of Clubs||Seven of Clubs||Queen of Spades||(20 points)"
0,14,"Ace of Spades||Four of Hearts||(5 or 15 points)"
0,14,"Three of Diamonds||Jack of Clubs||Six of Clubs||(19 points)"
0,14,"Seven of Clubs||Four of Spades||King of Clubs||(21 points)"
0,14,"Queen of Diamonds||Two of Clubs||Eight of Hearts||(20 points)"
1,14,"Ten of Diamonds||Five of Hearts||(15 points)"
0,14,"Five of Hearts||Nigh of Clubs||Three of Hearts||(17 points)"
0,14,"Five of Spades||Ace of Hearts||(6 or 16 points)"
0,14,"Three of Diamonds||Seven of Clubs||Three of Spades||Jack of Spades||(23 points)"
0,14,"Eight of Spades||Six of Diamonds||Jack of Clubs||(24 points)"
1,14,"Ten of Spades||Ten of Clubs||(20 points)"
0,14,"Three of Diamonds||Jack of Diamonds||Six of Clubs||(19 points)"
0,14,"Eight of Hearts||Six of Clubs||Two of Spades||(16 points)"
1,14,"Two of Hearts||Two of Spades||King of Clubs||Four of Hearts||(18 points)"
0,14,"Queen of Diamonds||Seven of Hearts||(17 points)"
0,14,"Five of Diamonds||Eight of Clubs||Six of Spades||(19 points)"
0,14,"Seven of Hearts||Four of Hearts||Two of Hearts||Jack of Diamonds||(23 points)"
1,14,"Eight of Clubs||Nigh of Diamonds||(17 points)"
0,14,"Four of Spades||Eight of Clubs||Four of Clubs||(16 points)"
0,14,"Seven of Hearts||Seven of Clubs||Six of Diamonds||(20 points)"
0,14,"Queen of Spades||Four of Spades||King of Diamonds||(24 points)"
0,14,"Ten of Diamonds||Jack of Diamonds||(20 points)"
0,14,"Three of Clubs||Four of Diamonds||Three of Diamonds||Eight of Hearts||(18 points)"
1,14,"Queen of Diamonds||Three of Diamonds||Ace of Hearts||(14 or 24 points)"
0,14,"Nigh of Clubs||Seven of Diamonds||(16 points)"
0,14,"Seven of Clubs||Four of Clubs||Two of Hearts||Jack of Clubs||(23 points)"
0,14,"Seven of Spades||Four of Diamonds||Two of Diamonds||Nigh of Hearts||(22 points)"
1,14,"Seven of Spades||Ace of Spades||(8 or 18 points)"
1,14,"Ten of Diamonds||Ace of Clubs||(11 or 21 points)"
0,14,"King of Diamonds||Five of Hearts||(15 points)"
1,14,"Ten of Clubs||Queen of Diamonds||(20 points)"
1,14,"King of Hearts||King of Clubs||(20 points)"
0,14,"Four of Spades||Ace of Diamonds||(5 or 15 points)"
1,14,"Seven of Hearts||Eight of Hearts||(15 points)"
0,14,"King of Clubs||Three of Clubs||Four of Hearts||(17 points)"
0,14,"Queen of Diamonds||Eight of Diamonds||(18 points)"
0,14,"King of Hearts||Three of Diamonds||Ten of Hearts||(23 points)"
0,14,"Seven of Diamonds||Seven of Hearts||King of Spades||(24 points)"
1,14,"Three of Hearts||Five of Hearts||Ten of Hearts||(18 points)"
0,14,"Two of Clubs||Ace of Hearts||Ten of Spades||(13 or 23 points)"
0,14,"Five of Hearts||King of Diamonds||(15 points)"
1,14,"Eight of Hearts||Three of Hearts||Ten of Clubs||(21 points)"
1,14,"Nigh of Diamonds||Six of Hearts||(15 points)"
1,14,"Ace of Hearts||Queen of Hearts||(11 or 21 points)"
0,14,"Seven of Diamonds||Seven of Spades||Nigh of Spades||(23 points)"
0,14,"Seven of Spades||Queen of Clubs||(17 points)"
1,14,"Six of Spades||Three of Spades||Seven of Diamonds||(16 points)"
0,14,"Eight of Spades||King of Spades||(18 points)"
1,14,"Ten of Spades||Jack of Clubs||(20 points)"
1,14,"Eight of Diamonds||Four of Diamonds||Ace of Clubs||(13 or 23 points)"
1,14,"Jack of Clubs||Six of Spades||(16 points)"
0,14,"Two of Diamonds||Nigh of Diamonds||Four of Hearts||(15 points)"
0,14,"Five of Diamonds||King of Diamonds||(15 points)"
1,14,"Ten of Clubs||Jack of Clubs||(20 points)"
1,14,"Three of Diamonds||Ten of Spades||Eight of Spades||(21 points)"
1,14,"King of Clubs||Jack of Spades||(20 points)"
1,14,"Queen of Hearts||Two of Diamonds||Nigh of Diamonds||(21 points)"
0,14,"Five of Hearts||Seven of Clubs||Six of Hearts||(18 points)"
1,14,"Ace of Spades||King of Hearts||(11 or 21 points)"
0,14,"Five of Diamonds||Four of Spades||Six of Diamonds||(15 points)"
0,14,"Two of Clubs||Nigh of Spades||Eight of Clubs||(19 points)"
1,14,"Three of Spades||Six of Diamonds||Three of Hearts||Ace of Spades||(13 or 23 points)"
1,14,"Two of Hearts||Two of Clubs||Seven of Diamonds||Queen of Hearts||(21 points)"
0,14,"Two of Spades||Jack of Spades||Nigh of Diamonds||(21 points)"
1,14,"Five of Spades||Five of Diamonds||Jack of Hearts||(20 points)"
0,14,"Jack of Clubs||Eight of Clubs||(18 points)"
0,14,"Four of Hearts||Two of Clubs||Queen of Clubs||(16 points)"
1,14,"Ten of Hearts||Four of Diamonds||Seven of Clubs||(21 points)"
1,14,"Ten of Spades||Two of Clubs||Two of Diamonds||Three of Hearts||(17 points)"
1,14,"Three of Hearts||Nigh of Clubs||Ace of Hearts||(13 or 23 points)"
1,14,"Ten of Clubs||Queen of Diamonds||(20 points)"
1,14,"King of Hearts||Ten of Hearts||(20 points)"
0,14,"Ace of Hearts||Six of Hearts||(7 or 17 points)"
0,14,"Six of Hearts||Nigh of Clubs||(15 points)"
1,14,"Eight of Hearts||Two of Hearts||Four of Diamonds||Four of Spades||(18 points)"
0,14,"Seven of Hearts||Ten of Clubs||(17 points)"
0,14,"Five of Spades||Three of Clubs||Queen of Spades||(18 points)"
1,14,"Five of Diamonds||Six of Spades||King of Diamonds||(21 points)"
0,14,"Four of Spades||Queen of Hearts||Queen of Spades||(24 points)"
1,14,"Ten of Hearts||King of Spades||(20 points)"
0,14,"Three of Clubs||Six of Clubs||Four of Hearts||Two of Spades||(15 points)"
0,14,"Two of Spades||Ten of Hearts||King of Clubs||(22 points)"
1,14,"Nigh of Spades||Four of Hearts||Seven of Clubs||(20 points)"
1,14,"Ace of Spades||Two of Clubs||Four of Spades||(7 or 17 points)"
1,14,"Seven of Spades||Jack of Diamonds||(17 points)"
0,14,"Seven of Spades||Eight of Diamonds||(15 points)"
1,14,"Ace of Spades||Two of Clubs||Six of Clubs||(9 or 19 points)"
1,14,"Jack of Hearts||Queen of Spades||(20 points)"
0,14,"Two of Diamonds||Jack of Clubs||Queen of Spades||(22 points)"
0,14,"Nigh of Clubs||Eight of Diamonds||(17 points)"
1,14,"Ace of Hearts||Nigh of Diamonds||(10 or 20 points)"
0,14,"Six of Diamonds||Seven of Diamonds||Two of Diamonds||(15 points)"
1,14,"Nigh of Spades||Five of Diamonds||Ace of Spades||(15 or 25 points)"
0,14,"Queen of Diamonds||Six of Diamonds||(16 points)"
0,14,"Five of Clubs||Eight of Hearts||Two of Diamonds||(15 points)"
0,14,"Four of Hearts||Seven of Spades||Queen of Spades||(21 points)"
0,14,"Nigh of Hearts||Six of Diamonds||(15 points)"
1,14,"Seven of Clubs||Ace of Diamonds||(8 or 18 points)"
1,14,"King of Spades||King of Hearts||(20 points)"
1,14,"Two of Spades||Three of Clubs||Eight of Diamonds||Four of Diamonds||(17 points)"
0,14,"Jack of Diamonds||Eight of Clubs||(18 points)"
0,14,"Two of Hearts||King of Spades||Six of Clubs||(18 points)"
1,14,"Six of Spades||Ten of Diamonds||(16 points)"
0,14,"Seven of Hearts||Nigh of Spades||(16 points)"
0,14,"King of Spades||King of Diamonds||(20 points)"
0,14,"Eight of Spades||Queen of Clubs||(18 points)"
1,14,"Four of Hearts||King of Hearts||Two of Hearts||(16 points)"
0,14,"Nigh of Spades||Two of Hearts||Ace of Hearts||(12 or 22 points)"
0,14,"King of Spades||Six of Hearts||(16 points)"
1,14,"Ten of Diamonds||Five of Clubs||(15 points)"
0,14,"Jack of Hearts||Four of Diamonds||King of Clubs||(24 points)"
0,14,"Three of Clubs||King of Hearts||Ten of Clubs||(23 points)"
1,14,"Four of Hearts||King of Spades||Ace of Diamonds||(15 or 25 points)"
1,14,"Three of Spades||Eight of Hearts||Four of Diamonds||(15 points)"
0,14,"Three of Clubs||Nigh of Diamonds||Two of Clubs||Three of Spades||(17 points)"
1,14,"Two of Clubs||Eight of Diamonds||Queen of Spades||(20 points)"
0,14,"King of Diamonds||Six of Hearts||(16 points)"
1,14,"Jack of Clubs||Six of Hearts||(16 points)"
1,14,"Seven of Hearts||Four of Diamonds||Jack of Spades||(21 points)"
0,14,"Five of Clubs||Nigh of Hearts||Eight of Spades||(22 points)"
0,14,"Eight of Diamonds||Four of Clubs||Nigh of Hearts||(21 points)"
0,14,"Two of Clubs||Five of Diamonds||Ten of Diamonds||(17 points)"
0,14,"Two of Hearts||Two of Clubs||King of Spades||King of Diamonds||(24 points)"
0,14,"Seven of Spades||King of Diamonds||(17 points)"
0,14,"Five of Spades||Eight of Hearts||Queen of Hearts||(23 points)"
1,14,"Ace of Diamonds||Six of Diamonds||(7 or 17 points)"
0,14,"Ten of Spades||Seven of Diamonds||(17 points)"
1,14,"Ace of Spades||King of Clubs||(11 or 21 points)"
0,14,"Four of Clubs||Ace of Hearts||(5 or 15 points)"
0,14,"Queen of Spades||Nigh of Spades||(19 points)"
0,14,"Ace of Spades||Eight of Hearts||(9 or 19 points)"
0,14,"Nigh of Spades||Eight of Hearts||(17 points)"
1,14,"Six of Diamonds||Queen of Hearts||(16 points)"
1,14,"Jack of Clubs||Ace of Spades||(11 or 21 points)"
0,14,"Jack of Hearts||Five of Clubs||(15 points)"
1,14,"Queen of Spades||Three of Clubs||Four of Spades||(17 points)"
0,14,"Three of Spades||Two of Hearts||Seven of Clubs||Eight of Hearts||(20 points)"
1,14,"Three of Spades||Eight of Clubs||Nigh of Diamonds||(20 points)"
0,14,"Eight of Clubs||Seven of Clubs||(15 points)"
1,14,"Six of Clubs||Three of Clubs||Two of Diamonds||Six of Spades||(17 points)"
0,14,"Eight of Clubs||Nigh of Hearts||(17 points)"
0,14,"Two of Clubs||Six of Diamonds||Six of Clubs||King of Spades||(24 points)"
0,14,"Eight of Diamonds||Ace of Hearts||(9 or 19 points)"
1,14,"Three of Hearts||Six of Hearts||Seven of Clubs||(16 points)"
1,14,"Ten of Spades||Seven of Hearts||(17 points)"
1,14,"Seven of Diamonds||Six of Clubs||Seven of Clubs||(20 points)"
0,14,"Ace of Hearts||Seven of Spades||(8 or 18 points)"
0,14,"Ten of Spades||Four of Clubs||Five of Clubs||(19 points)"
0,14,"Ten of Diamonds||Nigh of Spades||(19 points)"
0,14,"Five of Diamonds||Ten of Hearts||(15 points)"
0,14,"Seven of Clubs||Seven of Diamonds||Ten of Clubs||(24 points)"
0,14,"Eight of Clubs||Four of Hearts||King of Diamonds||(22 points)"
1,14,"Queen of Hearts||Five of Clubs||(15 points)"
0,14,"Ten of Spades||Five of Clubs||(15 points)"
1,14,"Six of Hearts||Five of Clubs||Nigh of Diamonds||(20 points)"
1,14,"Jack of Spades||Eight of Hearts||(18 points)"
1,14,"Six of Spades||Four of Diamonds||Six of Clubs||(16 points)"
0,14,"Five of Diamonds||Three of Hearts||Nigh of Diamonds||(17 points)"
1,14,"Eight of Clubs||Ace of Diamonds||(9 or 19 points)"
0,14,"Jack of Diamonds||Six of Clubs||(16 points)"
1,14,"Queen of Hearts||Seven of Spades||(17 points)"
0,14,"Jack of Clubs||Five of Hearts||(15 points)"
0,14,"Seven of Spades||Two of Clubs||Four of Clubs||Five of Spades||(18 points)"
0,14,"Ace of Diamonds||Seven of Hearts||(8 or 18 points)"
1,14,"Queen of Diamonds||King of Clubs||(20 points)"
0,14,"Four of Clubs||Jack of Clubs||King of Hearts||(24 points)"
1,14,"Jack of Clubs||Seven of Spades||(17 points)"
0,14,"Two of Spades||Ten of Hearts||Jack of Spades||(22 points)"
1,14,"Three of Clubs||Nigh of Spades||Eight of Clubs||(20 points)"
1,14,"Five of Diamonds||Four of Hearts||Ace of Diamonds||(10 or 20 points)"
1,14,"Eight of Spades||King of Clubs||(18 points)"
0,14,"King of Diamonds||Eight of Diamonds||(18 points)"
0,14,"Five of Hearts||Ten of Hearts||(15 points)"
0,14,"Three of Hearts||Jack of Spades||Ten of Spades||(23 points)"
0,14,"Two of Clubs||Queen of Clubs||King of Hearts||(22 points)"
0,14,"Three of Clubs||Nigh of Hearts||Two of Hearts||Queen of Hearts||(24 points)"
1,14,"Queen of Hearts||Nigh of Hearts||(19 points)"
0,14,"Nigh of Hearts||Jack of Spades||(19 points)"
0,14,"Eight of Diamonds||Three of Clubs||Ten of Clubs||(21 points)"
0,14,"Seven of Hearts||Five of Spades||Ten of Clubs||(22 points)"
1,14,"Jack of Clubs||Seven of Spades||(17 points)"
0,14,"Six of Diamonds||Four of Spades||Seven of Diamonds||(17 points)"
1,14,"Four of Spades||King of Hearts||Two of Spades||(16 points)"
0,14,"Queen of Spades||Seven of Spades||(17 points)"
0,14,"Seven of Hearts||Ten of Diamonds||(17 points)"
1,14,"Ace of Spades||Two of Spades||Seven of Diamonds||(10 or 20 points)"
1,14,"Ace of Hearts||Three of Spades||Four of Hearts||(8 or 18 points)"
0,14,"Seven of Clubs||Five of Clubs||Two of Clubs||Seven of Hearts||(21 points)"
1,14,"Queen of Spades||Ten of Spades||(20 points)"
1,14,"Ace of Diamonds||Seven of Clubs||(8 or 18 points)"
1,14,"Queen of Spades||Four of Hearts||Three of Spades||(17 points)"
0,14,"Five of Hearts||Six of Spades||Four of Hearts||(15 points)"
1,14,"Four of Spades||Ten of Clubs||Ace of Clubs||(15 or 25 points)"
1,14,"Ten of Diamonds||Nigh of Diamonds||(19 points)"
1,14,"Jack of Diamonds||Jack of Hearts||(20 points)"
0,14,"Six of Spades||Four of Diamonds||Jack of Diamonds||(20 points)"
1,14,"Jack of Clubs||Jack of Diamonds||(20 points)"
1,14,"Ten of Clubs||Eight of Clubs||(18 points)"
0,14,"Seven of Hearts||Ten of Spades||(17 points)"
0,14,"Queen of Hearts||Four of Clubs||Three of Clubs||(17 points)"
0,14,"Six of Clubs||Six of Hearts||Eight of Hearts||(20 points)"
0,14,"Four of Spades||Jack of Spades||Ten of Diamonds||(24 points)"
1,14,"Queen of Hearts||King of Spades||(20 points)"
0,14,"King of Diamonds||Two of Hearts||Three of Spades||(15 points)"
1,14,"Eight of Clubs||King of Clubs||(18 points)"
0,14,"Eight of Spades||Seven of Spades||(15 points)"
0,14,"Four of Diamonds||Two of Clubs||Queen of Spades||(16 points)"
0,14,"Three of Hearts||Six of Diamonds||Nigh of Spades||(18 points)"
0,14,"Nigh of Clubs||Ten of Spades||(19 points)"
0,14,"Five of Diamonds||Ten of Diamonds||(15 points)"
0,14,"Four of Spades||Two of Spades||Eight of Spades||Queen of Diamonds||(24 points)"
1,14,"Ace of Clubs||Five of Clubs||(6 or 16 points)"
0,14,"Queen of Spades||Eight of Spades||(18 points)"
0,14,"Four of Hearts||Six of Spades||Three of Spades||Queen of Clubs||(23 points)"
0,14,"Five of Diamonds||Ace of Clubs||(6 or 16 points)"
1,14,"Four of Spades||Two of Diamonds||Four of Clubs||Nigh of Clubs||(19 points)"
0,14,"Six of Hearts||Queen of Spades||(16 points)"
0,14,"Eight of Hearts||Ace of Hearts||(9 or 19 points)"
0,14,"Queen of Clubs||Nigh of Spades||(19 points)"
0,14,"Eight of Clubs||Four of Spades||Ace of Diamonds||(13 or 23 points)"
1,14,"Eight of Spades||Ten of Hearts||(18 points)"
1,14,"Five of Hearts||Four of Diamonds||Four of Spades||Ace of Diamonds||(14 or 24 points)"
1,14,"Jack of Hearts||Ace of Diamonds||(11 or 21 points)"
1,14,"Seven of Diamonds||Five of Clubs||Nigh of Hearts||(21 points)"
1,14,"Four of Diamonds||Seven of Hearts||Jack of Hearts||(21 points)"
0,14,"Queen of Spades||Two of Clubs||Jack of Clubs||(22 points)"
0,14,"Ace of Spades||Six of Spades||(7 or 17 points)"
0,14,"Queen of Spades||Eight of Clubs||(18 points)"
1,14,"King of Diamonds||Eight of Spades||(18 points)"
0,14,"Ten of Diamonds||Jack of Spades||(20 points)"
1,14,"King of Clubs||Queen of Diamonds||(20 points)"
0,14,"Jack of Hearts||Four of Diamonds||Five of Diamonds||(19 points)"
1,14,"Five of Clubs||Six of Clubs||Nigh of Clubs||(20 points)"
0,14,"Two of Hearts||Three of Hearts||Ace of Clubs||(6 or 16 points)"
1,14,"Two of Spades||Four of Clubs||Four of Diamonds||Six of Hearts||(16 points)"
0,14,"Six of Diamonds||Nigh of Clubs||(15 points)"
0,14,"King of Hearts||Ten of Spades||(20 points)"
1,14,"Five of Spades||Queen of Hearts||(15 points)"
0,14,"Nigh of Spades||Five of Spades||Ten of Diamonds||(24 points)"
0,14,"Eight of Clubs||Six of Hearts||Nigh of Clubs||(23 points)"
1,14,"Six of Spades||Ace of Hearts||(7 or 17 points)"
1,14,"Ace of Diamonds||Six of Diamonds||(7 or 17 points)"
0,14,"Eight of Clubs||Four of Hearts||Ace of Diamonds||(13 or 23 points)"
0,14,"Jack of Spades||Eight of Spades||(18 points)"
1,14,"Queen of Hearts||Seven of Spades||(17 points)"
0,14,"Six of Spades||Five of Diamonds||Ten of Spades||(21 points)"
0,14,"Five of Spades||Queen of Hearts||(15 points)"
0,14,"Four of Hearts||Three of Spades||Ace of Hearts||(8 or 18 points)"
0,14,"Ten of Spades||King of Clubs||(20 points)"
0,14,"Three of Clubs||Two of Diamonds||Eight of Diamonds||Nigh of Spades||(22 points)"
0,14,"Two of Diamonds||Eight of Hearts||Nigh of Clubs||(19 points)"
1,14,"Nigh of Hearts||Five of Spades||Ace of Spades||(15 or 25 points)"
1,14,"Four of Diamonds||Four of Spades||Ace of Hearts||(9 or 19 points)"
0,14,"Three of Diamonds||King of Hearts||Ace of Spades||(14 or 24 points)"
0,14,"Nigh of Clubs||Jack of Diamonds||(19 points)"
0,14,"Jack of Diamonds||Two of Clubs||Seven of Spades||(19 points)"
1,14,"Nigh of Diamonds||Two of Clubs||Six of Clubs||(17 points)"
0,14,"Two of Spades||Jack of Diamonds||Queen of Hearts||(22 points)"
0,14,"Queen of Spades||Three of Diamonds||Ten of Diamonds||(23 points)"
0,14,"King of Hearts||Five of Clubs||(15 points)"
0,14,"Six of Hearts||Three of Diamonds||Four of Spades||King of Diamonds||(23 points)"
1,14,"Queen of Spades||Jack of Hearts||(20 points)"
1,14,"Two of Diamonds||Ace of Clubs||King of Clubs||(13 or 23 points)"
1,14,"Ace of Hearts||Eight of Clubs||(9 or 19 points)"
0,14,"King of Clubs||Two of Diamonds||Two of Spades||Nigh of Spades||(23 points)"
0,14,"Queen of Spades||Nigh of Hearts||(19 points)"
1,14,"King of Clubs||Jack of Spades||(20 points)"
0,14,"Six of Hearts||Seven of Diamonds||Nigh of Hearts||(22 points)"
0,14,"Two of Clubs||Ten of Diamonds||Four of Diamonds||(16 points)"
0,14,"Jack of Spades||Four of Diamonds||Three of Spades||(17 points)"
1,14,"Nigh of Spades||Eight of Spades||(17 points)"
0,14,"Six of Hearts||Nigh of Hearts||(15 points)"
0,14,"Nigh of Diamonds||Ten of Clubs||(19 points)"
1,14,"Eight of Hearts||Jack of Diamonds||(18 points)"
0,14,"Queen of Clubs||Two of Spades||Eight of Spades||(20 points)"
0,14,"Eight of Spades||Seven of Clubs||(15 points)"
1,14,"Queen of Spades||Three of Hearts||Ace of Hearts||(14 or 24 points)"
0,14,"Nigh of Spades||Jack of Clubs||(19 points)"
0,14,"Nigh of Hearts||Four of Diamonds||Five of Diamonds||(18 points)"
1,14,"Nigh of Clubs||Two of Clubs||Three of Hearts||Seven of Spades||(21 points)"
1,14,"Two of Spades||Ace of Clubs||Six of Spades||(9 or 19 points)"
0,14,"Jack of Clubs||Three of Clubs||Queen of Diamonds||(23 points)"
1,14,"Six of Clubs||Ace of Spades||(7 or 17 points)"
0,14,"Six of Diamonds||Four of Hearts||Four of Spades||Nigh of Spades||(23 points)"
1,14,"Ace of Spades||Three of Hearts||Jack of Spades||(14 or 24 points)"
1,14,"Six of Diamonds||Three of Hearts||Jack of Hearts||(19 points)"
0,14,"Four of Diamonds||Six of Diamonds||Five of Clubs||(15 points)"
0,14,"Seven of Diamonds||Queen of Hearts||(17 points)"
0,14,"Nigh of Spades||Seven of Spades||(16 points)"
1,14,"Ace of Hearts||Ten of Spades||(11 or 21 points)"
1,14,"Five of Hearts||Nigh of Hearts||Ace of Clubs||(15 or 25 points)"
0,14,"Six of Hearts||Three of Diamonds||Eight of Diamonds||(17 points)"
0,14,"Four of Hearts||Ace of Clubs||(5 or 15 points)"
0,14,"Four of Spades||Six of Hearts||Six of Clubs||(16 points)"
1,14,"Queen of Diamonds||Ten of Spades||(20 points)"
1,14,"Jack of Clubs||Queen of Clubs||(20 points)"
0,14,"King of Diamonds||Four of Hearts||Eight of Spades||(22 points)"
